Date,ADP_Days,Wind_Avg,T_Avg_Air
01.09.2025,1,4.5,27.1
02.09.2025,2,3.3,25.6
03.09.2025,3,4.4,27.6
04.09.2025,4,2.3,23.8
05.09.2025,5,3.0,23.2
06.09.2025,6,2.4,21.2
07.09.2025,7,2.8,20.5
08.09.2025,8,2.8,21.7
09.09.2025,9,2.6,24.6
10.09.2025,10,3.3,25.5
11.09.2025,0,6.0,21.4
12.09.2025,0,4.4,18.0
13.09.2025,1,2.4,16.8
14.09.2025,2,4.3,16.1
15.09.2025,3,2.8,17.0
16.09.2025,4,2.8,16.0
17.09.2025,5,2.6,17.4
18.09.2025,6,3.3,18.2
19.09.2025,7,6.0,22.4
20.09.2025,0,5.9,18.5
21.09.2025,1,4.8,16.5
22.09.2025,2,2.3,17.9
23.09.2025,3,2.0,17.9
24.09.2025,4,1.9,18.9
25.09.2025,5,2.3,19.6
26.09.2025,6,2.0,17.8
27.09.2025,7,4.3,15.3
28.09.2025,0,2.9,12.6
29.09.2025,1,3.8,15.4
30.09.2025,2,6.0,16.6
01.10.2025,0,4.3,13.3
02.10.2025,1,3.4,12.4
03.10.2025,2,4.3,13.7
04.10.2025,3,4.9,16.3
05.10.2025,4,5.6,17.3
06.10.2025,5,4.1,17.4
07.10.2025,6,2.1,17.2
08.10.2025,7,5.3,19.3
09.10.2025,8,6.8,20.1
10.10.2025,9,5.3,17.9
11.10.2025,10,2.0,16.7
12.10.2025,11,2.5,16.2
13.10.2025,12,2.3,16.8
14.10.2025,0,4.6,17.0
15.10.2025,1,2.3,13.8
16.10.2025,2,2.0,13.3
17.10.2025,3,3.0,13.4
18.10.2025,4,2.3,12.9
19.10.2025,5,4.3,15.8
20.10.2025,6,5.0,17.6
21.10.2025,7,2.6,13.5
22.10.2025,8,3.3,13.5
23.10.2025,9,1.9,14.0
24.10.2025,10,2.0,15.9
25.10.2025,11,1.9,15.6
26.10.2025,12,1.5,15.0
27.10.2025,13,4.3,15.2
28.10.2025,14,2.6,15.0
29.10.2025,15,4.4,15.3
30.10.2025,16,5.6,14.7
31.10.2025,0,3.3,14.0
01.11.2025,1,4.1,14.2
02.11.2025,0,3.3,13.1
03.11.2025,0,3.5,10.3
04.11.2025,1,3.9,5.7
05.11.2025,2,6.5,6.7
06.11.2025,3,4.9,6.9
07.11.2025,4,1.9,6.3
08.11.2025,5,1.3,8.5
09.11.2025,6,1.6,12.3
10.11.2025,7,2.3,10.0
11.11.2025,8,2.5,13.3
12.11.2025,9,2.1,12.5
13.11.2025,10,1.4,12.1
14.11.2025,11,1.5,7.5
15.11.2025,12,1.6,9.0
16.11.2025,13,2.3,9.1
17.11.2025,14,2.4,9.5
18.11.2025,15,2.1,5.6
19.11.2025,16,2.4,10.2
20.11.2025,17,3.9,13.3
21.11.2025,18,3.8,12.5
22.11.2025,19,2.9,11.5
23.11.2025,20,2.5,9.8
24.11.2025,21,3.8,10.4
25.11.2025,22,4.3,11.5
26.11.2025,23,3.4,8.6
27.11.2025,24,3.3,7.0
28.11.2025,25,1.8,1.2
29.11.2025,26,2.5,2.6
30.11.2025,27,4.5,3.3
01.12.2025,28,4.1,4.5
02.12.2025,0,2.9,7.6
03.12.2025,0,3.1,7.9
04.12.2025,1,1.3,5.7
05.12.2025,2,3.3,3.7
06.12.2025,0,5.5,0.7
07.12.2025,0,4.0,1.3
08.12.2025,1,4.4,0.1
09.12.2025,2,4.8,2.0
10.12.2025,0,5.9,0.8
11.12.2025,0,2.5,1.1
12.12.2025,1,3.4,-1.7
13.12.2025,0,3.0,3.1
