Date,ADP_Days,Wind_Avg,T_Avg_Air,Rain_Intensity,TDS_Before,Turbidity_Before,TDS_After,Turbidity_After,Water_Quality_Class
2025-01-10,0,4.3,13.3,1,100.0,108.60000000000001,95.0,27.150000000000002,3
2025-02-11,0,3.3,13.1,1,100.0,106.60000000000001,95.0,26.650000000000002,3
2025-02-12,0,2.9,7.6,1,100.0,105.80000000000001,95.0,26.450000000000003,3
2025-03-11,0,3.5,10.3,1,100.0,107.0,95.0,26.75,3
2025-03-12,0,3.1,7.9,1,100.0,106.2,95.0,26.55,3
2025-06-12,0,5.5,0.7,3,250.0,4440.0,237.5,1110.0,1
2025-07-12,0,4.0,1.3,3,250.0,4320.0,237.5,1080.0,1
2025-10-12,0,5.9,0.8,3,250.0,4472.0,237.5,1118.0,1
2025-11-09,0,6.0,21.4,2,144.0,672.0000000000001,136.79999999999998,168.00000000000003,1
2025-11-12,0,2.5,1.1,3,250.0,4200.0,237.5,1050.0,1
2025-12-09,0,4.4,18.0,1,100.0,108.80000000000001,95.0,27.200000000000003,3
